agent_accuracy,anomaly_accuracy,context_accuracy,loss,next_event_accuracy,val_agent_accuracy,val_anomaly_accuracy,val_context_accuracy,val_loss,val_next_event_accuracy
0.560693621635437,0.5231214165687561,0.09537572413682938,2.825083017349243,0.8135837912559509,0.9932432174682617,0.4932432472705841,0.18918919563293457,1.3576602935791016,1.0
0.9841040372848511,0.4667630195617676,0.23699422180652618,1.1961839199066162,1.0,1.0,0.5135135054588318,0.29729729890823364,1.0256116390228271,1.0
1.0,0.4696531891822815,0.3482658863067627,0.916666567325592,1.0,1.0,0.5675675868988037,0.45270270109176636,0.8757514953613281,1.0
1.0,0.5202311873435974,0.43352600932121277,0.8365732431411743,1.0,1.0,0.6486486196517944,0.4256756901741028,0.8087863326072693,1.0
1.0,0.5028901696205139,0.45375722646713257,0.7697378396987915,1.0,1.0,0.6148648858070374,0.45945945382118225,0.7583888173103333,1.0
1.0,0.5476878881454468,0.4566473960876465,0.7483261227607727,1.0,1.0,0.6283783912658691,0.37837839126586914,0.7820262312889099,1.0
1.0,0.5303468108177185,0.46098265051841736,0.7292645573616028,1.0,1.0,0.5743243098258972,0.4324324429035187,0.7581151723861694,1.0
1.0,0.5057803392410278,0.486994206905365,0.7041023373603821,1.0,1.0,0.5675675868988037,0.4864864945411682,0.7723529934883118,1.0
1.0,0.5693641901016235,0.5072254538536072,0.6879220008850098,1.0,1.0,0.4932432472705841,0.47297295928001404,0.7542585134506226,1.0
1.0,0.5838150382041931,0.5419074892997742,0.6646678447723389,1.0,1.0,0.6418918967247009,0.45945945382118225,0.814933180809021,1.0
1.0,0.5780346989631653,0.5289017558097839,0.6580349802970886,1.0,1.0,0.587837815284729,0.45945945382118225,0.8216184377670288,1.0
1.0,0.5780346989631653,0.560693621635437,0.6304588317871094,1.0,1.0,0.6148648858070374,0.4324324429035187,0.8244102001190186,1.0
1.0,0.5794797539710999,0.5924855470657349,0.6085026264190674,1.0,1.0,0.5675675868988037,0.45270270109176636,0.8187789916992188,1.0
1.0,0.6112716794013977,0.5968208312988281,0.5741486549377441,1.0,1.0,0.5472972989082336,0.43918919563293457,0.9049485921859741,1.0
1.0,0.6040462255477905,0.634393036365509,0.5423417687416077,1.0,1.0,0.5945945978164673,0.4189189076423645,0.945701003074646,1.0
1.0,0.6459537744522095,0.6560693383216858,0.5094383955001831,1.0,1.0,0.6351351141929626,0.45945945382118225,1.0169376134872437,1.0
1.0,0.6430636048316956,0.6950867176055908,0.4798448979854584,1.0,1.0,0.5337837934494019,0.45270270109176636,1.0393121242523193,1.0
1.0,0.6271676421165466,0.7268785834312439,0.43877679109573364,1.0,1.0,0.5675675868988037,0.4324324429035187,1.1047894954681396,1.0
1.0,0.6228323578834534,0.7442196607589722,0.4380451738834381,1.0,1.0,0.5675675868988037,0.43918919563293457,1.1020259857177734,1.0
1.0,0.6372832655906677,0.7095375657081604,0.4212108552455902,1.0,1.0,0.5135135054588318,0.43918919563293457,1.1650725603103638,1.0
1.0,0.6257225275039673,0.7456647157669067,0.4020843803882599,1.0,1.0,0.587837815284729,0.4797297418117523,1.2313264608383179,1.0
