agent_accuracy,anomaly_accuracy,context_accuracy,loss,next_event_accuracy,val_agent_accuracy,val_anomaly_accuracy,val_context_accuracy,val_loss,val_next_event_accuracy
0.3945086598396301,0.5289017558097839,0.10260115563869476,2.548651933670044,0.7947976589202881,0.44594594836235046,0.4932432472705841,0.06756756454706192,2.3837482929229736,0.7972972989082336
0.4956647455692291,0.5433526039123535,0.12572254240512848,2.1614370346069336,0.8511560559272766,0.5405405163764954,0.5,0.13513512909412384,1.922210693359375,0.9391891956329346
0.7341040372848511,0.5433526039123535,0.18063583970069885,1.6685396432876587,0.9783236980438232,0.7567567825317383,0.5405405163764954,0.22297297418117523,1.4515279531478882,1.0
0.9248554706573486,0.5144508481025696,0.2673410475254059,1.2680362462997437,0.9956647157669067,1.0,0.5743243098258972,0.3175675570964813,1.077369213104248,1.0
1.0,0.5289017558097839,0.3410404622554779,0.9750301837921143,1.0,1.0,0.5472972989082336,0.3513513505458832,0.916427731513977,1.0
1.0,0.5289017558097839,0.3612716794013977,0.844213604927063,1.0,1.0,0.5202702879905701,0.37837839126586914,0.8212076425552368,1.0
1.0,0.5346820950508118,0.4190751314163208,0.7892467379570007,1.0,1.0,0.5202702879905701,0.4054054021835327,0.7902020812034607,1.0
1.0,0.5332369804382324,0.4421965181827545,0.7605347633361816,1.0,1.0,0.5810810923576355,0.4121621549129486,0.7837217450141907,1.0
1.0,0.5621387362480164,0.4552023112773895,0.7432436347007751,1.0,1.0,0.5067567825317383,0.45270270109176636,0.7472804188728333,1.0
1.0,0.5534682273864746,0.47109827399253845,0.7167350649833679,1.0,1.0,0.5405405163764954,0.47297295928001404,0.7520784735679626,1.0
1.0,0.5317919254302979,0.47832369804382324,0.7357946634292603,1.0,1.0,0.5202702879905701,0.4324324429035187,0.7584453225135803,1.0
1.0,0.5520231127738953,0.4797687828540802,0.7261805534362793,1.0,1.0,0.4864864945411682,0.46621620655059814,0.7502025961875916,1.0
1.0,0.5404624342918396,0.46531790494918823,0.7222684025764465,1.0,1.0,0.5405405163764954,0.45270270109176636,0.7426703572273254,1.0
1.0,0.5505780577659607,0.49421966075897217,0.7160371541976929,1.0,1.0,0.5,0.45945945382118225,0.7436821460723877,1.0
1.0,0.5404624342918396,0.4971098303794861,0.7005698680877686,1.0,1.0,0.5405405163764954,0.45270270109176636,0.7567873001098633,1.0
1.0,0.5780346989631653,0.5072254538536072,0.6904789209365845,1.0,1.0,0.5,0.46621620655059814,0.740940511226654,1.0
1.0,0.560693621635437,0.5014451146125793,0.6872177124023438,1.0,1.0,0.5202702879905701,0.4932432472705841,0.744764506816864,1.0
1.0,0.573699414730072,0.5202311873435974,0.6793244481086731,1.0,1.0,0.5270270109176636,0.45270270109176636,0.7395930290222168,1.0
1.0,0.5505780577659607,0.5231214165687561,0.6806126236915588,1.0,1.0,0.5202702879905701,0.4864864945411682,0.7422502040863037,1.0
1.0,0.5823699235916138,0.5245664715766907,0.67784583568573,1.0,1.0,0.46621620655059814,0.4324324429035187,0.7475725412368774,1.0
1.0,0.5520231127738953,0.5173410177230835,0.6769681572914124,1.0,1.0,0.5135135054588318,0.46621620655059814,0.7654976844787598,1.0
1.0,0.5679190754890442,0.5115606784820557,0.6683502793312073,1.0,1.0,0.4932432472705841,0.5067567825317383,0.7474535703659058,1.0
1.0,0.586705207824707,0.5173410177230835,0.6617462635040283,1.0,1.0,0.5472972989082336,0.44594594836235046,0.7551006078720093,1.0
1.0,0.5910404920578003,0.5447976589202881,0.6632133722305298,1.0,1.0,0.47297295928001404,0.45945945382118225,0.7490701675415039,1.0
1.0,0.5549132823944092,0.5317919254302979,0.6560707092285156,1.0,1.0,0.4932432472705841,0.46621620655059814,0.7765726447105408,1.0
1.0,0.5780346989631653,0.5549132823944092,0.6475492119789124,1.0,1.0,0.5270270109176636,0.47297295928001404,0.7605547308921814,1.0
1.0,0.5968208312988281,0.5404624342918396,0.6532720923423767,1.0,1.0,0.5067567825317383,0.45270270109176636,0.7544557452201843,1.0
1.0,0.5939306616783142,0.5635837912559509,0.6284700632095337,1.0,1.0,0.5067567825317383,0.45945945382118225,0.7390130162239075,1.0
1.0,0.6083815097808838,0.5635837912559509,0.6135692596435547,1.0,1.0,0.47297295928001404,0.45270270109176636,0.7595370411872864,1.0
1.0,0.589595377445221,0.5635837912559509,0.6142473816871643,1.0,1.0,0.5202702879905701,0.4797297418117523,0.7566959261894226,1.0
